user_id,article_1,article_2,article_3,article_4,article_5
200000,194935,195645,194421,195773,187005
200001,285808,272143,199198,64329,224658
200002,202701,61375,293301,159762,156654
200003,158536,156447,156560,235230,156619
200004,218028,289003,157478,289090,336220
200005,69932,156964,234698,64346,160974
200006,307561,96210,20691,159529,336245
200007,336254,97530,283791,157478,289003
200008,352979,277107,336254,289003,218028
200009,198659,166581,156560,199198,324823
200010,162765,156560,64329,159762,160974
200011,107301,64329,198659,224658,175040
200012,181585,111043,233688,119534,128260
200013,336245,96103,20691,288440,96244
200014,156447,156560,158536,156619,162765
200015,236338,234698,64409,336221,214631
200016,336245,20691,96103,288440,337441
200017,107073,106742,162839,65831,206775
200018,336245,96210,288440,337441,183176
200019,121834,177155,176586,352555,216102
200020,234269,235870,156964,289090,336221
200021,324823,299697,175040,199197,64329
200022,336221,234698,300082,235870,64409
200023,156519,159938,199716,156964,199278
200024,36162,50644,234269,235854,234267
200025,156654,64329,166581,199197,272143
200026,286336,122069,283552,42356,114661
200027,36587,59817,59888,194951,166913
200028,284474,285298,348111,199197,233917
200029,277107,57966,157478,289003,331116
200030,123290,124352,124228,123818,124748
200031,272218,70397,338339,301030,108856
200032,156447,156560,158536,156619,162765
200033,20691,96210,95716,336221,336223
200034,87179,87236,236444,157844,284422
200035,271262,234698,161506,301015,32082
200036,95716,234698,111210,293301,257291
200037,336380,315105,337735,160158,83534
200038,233728,234391,336476,237252,233605
200039,224486,149610,224355,206772,225124
200040,162338,107039,208077,336476,182513
200041,235854,183176,336220,277492,288435
200042,284985,160940,338340,293114,124749
200043,224763,257291,285719,289126,293301
200044,64409,277492,284096,277491,234698
200045,159275,156560,84856,211485,83822
200046,353012,351820,353437,352063,353811
200047,96210,288440,336245,303180,133160
200048,336476,182513,59829,284474,299697
200049,107177,156619,233997,140528,203890
200050,348112,354086,277492,277491,183176
200051,198659,166581,156560,199198,175040
200052,58580,271261,234698,235870,123909
200053,288435,277492,235854,272143,42873
200054,250043,166581,272143,224658,158536
200055,128260,181585,111043,289090,336220
200056,14145,70429,50405,16588,16563
200057,272762,96152,218789,83485,123434
200058,206785,161506,158536,62464,64329
200059,218028,202355,336254,214753,61594
200060,31836,303180,336223,233595,59057
200061,289090,234698,336221,64409,235870
200062,205866,202376,208596,207714,202701
200063,264771,235652,161801,161506,235230
200064,198659,166581,156560,199198,324823
200065,14394,16470,14401,236951,206315
200066,336223,48403,59057,95716,324823
200067,235616,235870,64409,300082,156964
200068,124352,124748,123290,123818,123757
200069,39894,277107,336254,289003,207603
200070,336476,182513,59829,284474,299697
200071,58580,132497,234698,183176,233688
200072,31520,141004,59057,214206,303180
200073,336220,277491,336221,124228,168623
200074,233717,272143,198659,64329,166581
200075,293114,123826,124350,123290,123289
200076,336221,156052,70773,300082,161149
200077,156624,166338,204678,272401,218289
200078,199198,272143,224658,166581,324823
