user_id,article_1,article_2,article_3,article_4,article_5
200000,194935,195645,194421,195773,187005
200001,272143,198659,224658,199198,285808
200002,202701,297906,61375,300473,156654
200003,158536,156619,156560,156447,343256
200004,218028,289003,157478,289090,336220
200005,69932,156964,234698,64346,158082
200006,96210,307561,20691,336245,159529
200007,283791,331116,97530,277107,336254
200008,352979,277107,284096,336254,289003
200009,166581,175040,156560,224658,324823
200010,64329,160974,272143,156560,156447
200011,224658,107301,175040,198659,162655
200012,181585,111043,119534,233688,128260
200013,96103,336245,20691,96244,337441
200014,158536,156447,156560,162765,235230
200015,64409,236338,234698,95716,156964
200016,96103,336245,20691,288440,337441
200017,107073,106742,65831,162839,208322
200018,336245,96210,288440,337441,235870
200019,216102,121834,176586,352555,218144
200020,156964,235870,234269,289090,234698
200021,299697,324823,175040,166581,199198
200022,336221,156964,235870,234698,236338
200023,156519,159938,199278,156964,199716
200024,36162,50644,234267,234269,235854
200025,156654,64329,166581,175040,272143
200026,286336,122069,283552,42356,31594
200027,166913,36587,50878,87102,194951
200028,284474,285298,199197,156624,341838
200029,277107,57966,157478,331116,199474
200030,123289,123290,124352,272143,123818
200031,272218,97082,108856,70397,338339
200032,158536,235230,156560,162765,156447
200033,20691,96210,234698,95716,271261
200034,87179,87236,156624,236444,284422
200035,301015,271262,235870,234698,32082
200036,234698,257291,95716,233478,111210
200037,337735,160158,336380,315105,129434
200038,233728,336476,234391,237252,236065
200039,149610,224486,224355,225124,159661
200040,162338,208077,107039,236961,336476
200041,235854,336220,286161,288435,277492
200042,124749,284985,124194,160940,123909
200043,224763,161439,257291,157300,337435
200044,277492,64409,234698,284096,277491
200045,159275,83822,84856,156560,211485
200046,353012,353437,351820,251110,313431
200047,96210,288440,336245,303180,175040
200048,59829,336476,182513,299697,348134
200049,107177,156619,272143,140528,233997
200050,348112,354086,289090,288321,277491
200051,166581,175040,156560,224658,324823
200052,58580,271261,234698,236951,123909
200053,288435,277492,235854,272143,199198
200054,199198,250043,166581,224658,272143
200055,128260,111043,181585,29953,336220
200056,14145,16588,70429,17345,16033
200057,272762,96152,218789,83485,123434
200058,206785,158536,166581,272143,161506
200059,218028,202355,214753,61594,336254
200060,233595,303180,31836,59057,336223
200061,156964,64409,289090,277492,234698
200062,205866,208596,202701,202376,206711
200063,235652,264771,161506,161801,272143
200064,175040,156560,224658,166581,324823
200065,14394,16470,14401,284422,283392
200066,336223,48403,59057,95716,324823
200067,235870,235616,156964,64409,234698
200068,123290,124352,123818,124748,124228
200069,39894,277107,336254,289003,336223
200070,59829,336476,182513,299697,348134
200071,58580,132497,133086,234698,233688
200072,48403,31520,214206,59057,141004
200073,336220,277491,336221,168623,123290
200074,166581,233717,199198,175040,272143
200075,123289,293114,124350,124748,123826
200076,336221,300082,70773,156052,161149
200077,156624,166338,311514,272401,218289
200078,224658,199198,175040,156560,272143
