user_id,article_1,article_2,article_3,article_4,article_5
200000,194935,195645,194421,195773,187005
200001,64329,285808,299697,324823,224658
200002,202701,61375,293301,159762,300128
200003,156447,158536,156560,235230,156619
200004,218028,289003,157478,289090,336220
200005,69932,156964,234698,64346,160974
200006,307561,159529,20691,96210,336245
200007,336254,157478,97530,283791,289003
200008,277107,352979,336254,289003,218028
200009,198659,199198,166581,64329,156560
200010,162655,162765,156560,64329,158536
200011,107301,198659,64329,166581,224658
200012,181585,111043,233688,119534,128260
200013,336245,20691,96103,288440,96244
200014,156447,156619,156560,162765,158536
200015,236338,336221,234698,214631,64409
200016,336245,20691,96103,288440,337441
200017,107073,106742,162839,206775,65831
200018,96210,336245,288440,337441,183176
200019,121834,177155,176586,261612,216102
200020,235870,234269,156964,289090,300082
200021,324823,199197,156624,64329,175040
200022,234698,300082,235870,336221,64409
200023,156519,159938,199716,198275,159762
200024,36162,50644,235854,234269,336221
200025,156654,64329,166581,199197,198659
200026,286336,122069,283552,42356,114661
200027,59817,59888,59848,36587,194951
200028,348111,285298,284474,233917,199197
200029,277107,289003,57966,157478,218028
200030,124352,124228,123290,123818,124748
200031,70397,301030,338339,129434,272218
200032,156447,156619,156560,162765,158536
200033,20691,96210,336221,336223,95716
200034,87179,87236,236444,157844,197151
200035,271262,234698,161506,29953,32082
200036,234698,95716,111210,293301,233717
200037,336380,315105,284985,128551,31520
200038,233728,234391,233605,336476,237252
200039,224486,224355,206772,149610,225124
200040,162338,107039,336476,182513,208077
200041,183176,235854,336220,288435,277492
200042,284985,160940,338340,293114,96480
200043,224763,285719,159762,289126,257291
200044,64409,284096,277491,277492,234698
200045,159275,156560,211485,83752,84856
200046,353012,351820,352063,353437,353811
200047,96210,336245,288440,336223,303180
200048,336476,284474,182513,59829,199197
200049,107177,156447,203890,156619,140528
200050,348112,277492,354086,277491,183176
200051,198659,199198,64329,166581,156560
200052,58580,271261,235870,95716,234698
200053,288435,277492,235854,42873,36161
200054,250043,272143,199197,198659,175040
200055,181585,128260,289090,111043,161506
200056,50405,14145,70429,16588,16563
200057,96152,272762,218789,83485,123434
200058,206785,161506,64329,62464,199197
200059,218028,336254,202355,214753,61594
200060,336223,303180,31836,233595,59057
200061,289090,336221,234698,235870,140410
200062,205866,202376,160974,207714,208596
200063,264771,161801,235652,161506,199197
200064,198659,166581,199198,64329,156560
200065,14394,14401,16470,236951,236444
200066,336223,48403,59057,95716,324823
200067,235870,235616,64409,300082,156964
200068,124352,123818,124748,123290,123757
200069,39894,277107,336254,289003,336223
200070,336476,284474,182513,59829,199197
200071,58580,132497,183176,234698,233688
200072,31520,141004,31836,303180,59057
200073,336220,277491,336221,124228,214474
200074,233717,64329,272143,198659,199197
200075,123826,293114,123757,123290,124177
200076,336221,70773,156052,161149,300082
200077,166338,156624,204678,80055,272401
200078,199198,272143,324823,166581,224658
200079,336254,283009,288942,277107,157478
200080,256026,255747,255007,254414,255875
200081,149612,264771,161801,42967,84420
200082,156447,156619,156560,162765,158536
200083,270607,50504,245161,293514,158882
200084,336220,354086,277492,289090,215674
200085,336223,288680,133506,59057,288988
200086,123289,123290,124748,123826,162655
200087,289003,336221,336223,234698,300082
200088,156447,156619,156560,162765,158536
200089,157478,289003,331116,336221,234698
200090,199197,156624,64329,233717,272143
200091,159762,285648,156624,285342,175040
200092,123289,123290,315088,123757,313807
200093,39894,277107,336254,289003,336221
200094,289186,198659,182394,175040,199197
200095,209236,202559,218028,331116,206120
200096,123818,123290,124352,123757,124228
200097,336223,136041,315105,95716,336221
200098,277164,288942,283009,336254,287083
200099,194923,271262,236610,285377,284583
200100,233688,283505,234006,183176,111043
200101,44769,360884,42353,42354,41922
200102,235230,284547,129029,271551,313431
200103,235084,233926,233541,242185,324509
200104,166129,159275,293513,284583,96210
200105,32082,336221,234698,336223,31836
200106,206785,157478,209236,289003,162378
200107,74895,71432,75376,133160,288320
200108,336245,20691,288440,324823,175040
200109,300128,298310,300473,300923,300755
200110,124350,293062,338340,123826,128551
200111,336254,283009,97530,157478,289003
200112,156964,64346,234698,161506,70428
200113,276970,237524,299152,168623,123909
200114,234698,95716,123290,124228,124177
200115,156447,156619,156560,162765,158536
200116,214800,301008,158536,156447,156560
200117,336221,234698,235870,289090,300082
200118,31836,300715,299032,199197,224658
200119,211723,211415,156560,158536,156447
200120,234698,64409,84019,336221,84020
200121,354086,119534,277492,284096,235854
200122,331116,218028,157478,336254,289003
200123,235230,207994,187065,206462,284547
200124,20691,336245,288440,233688,183176
200125,95716,123290,124228,123818,124352
200126,331116,202355,215613,336254,289003
200127,160974,162655,156624,64329,218337
200128,96210,336245,20691,288440,183176
200129,156619,272143,160417,160974,156624
200130,156624,64329,156560,218337,158536
200131,288320,233595,336223,30611,59057
200132,218028,336254,289003,352979,187183
200133,187065,129029,235230,313431,285298
200134,352979,39894,289003,283009,30389
200135,336245,20691,96210,96103,337441
200136,271262,236566,313920,225010,283764
200137,236610,283009,39894,289003,30389
200138,198659,156560,64329,156447,199198
200139,206168,70646,207309,208322,235230
200140,10127,9649,336245,235524,283402
200141,277107,289003,336245,96210,331116
200142,315088,313355,309540,312276,313756
200143,337728,332968,338497,32295,211481
